Internal Class ID,Course,COURSE: Subject,Description,Teacher ID,School Year,Class ID
33991,Wrestling JV,Athletics,Wrestling JV,24243,18-19,WrstJV.W.2018.US
36257,Alpine Skiing JV,Athletics,Alpine Skiing JV,24944,18-19,SkiJV.W.2018
33938,Football Boys Varsity,Athletics,Football Boys Varsity,225027,18-19,FblBV.F.2018.US
33939,Football Boys Junior,Athletics,Football Boys Junior,23171,18-19,FblBJV.F.2018.US
33940,Soccer Boys Varsity,Athletics,Soccer Boys Varsity,24959,18-19,SocBV.F.2018.US
33941,Soccer Boys JV,Athletics,Soccer Boys JV,18136,18-19,SocBJV.F.2018.US
33942,Soccer Boys 3rd,Athletics,Soccer Boys 3rd,15370,18-19,SocB3.F.2018.US
33943,Cross Country Boys Varsity,Athletics,Cross Country Boys Varsity,20155,18-19,XCtryBV.F.2018.US
33944,Volleyball Girls JV,Athletics,Volleyball Girls JV,21886,18-19,VGJV.F.2018
33945,Cross Country Girls JV,Athletics,Cross Country Girls JV,22621,18-19,XCtryGJV.F.2018.US
33946,Soccer Girls Middle School,Athletics,Soccer Girls Middle School,21899,18-19,SocG4.F.2018.MS
33947,Field Hockey Girls Middle School,Athletics,Field Hockey Girls Middle School,18480,18-19,FHckG4.F.2018.MS
33948,Soccer Boys Middle School,Athletics,Soccer Boys Middle School,15496,18-19,SocB4.F.2018.MS
33949,Volleyball Girls Varsity,Athletics,Volleyball Girls Varsity,18272,18-19,VGV.F.2018
33950,Cross Country Middle School,Athletics,Cross Country Middle School,19336,18-19,XCtryMS.F.2018.MS
33952,Field Hockey Girls Varsity,Athletics,Field Hockey Girls Varsity,23517,18-19,FHckGV.F.2018.US
33953,Field Hockey Girls JV,Athletics,Field Hockey Girls JV,21366,18-19,FHckGJV.F.2018.US
33954,Soccer Girls Varsity,Athletics,Soccer Girls Varsity,26546,18-19,SocGV.F.2018.US
33955,Soccer Girls JV,Athletics,Soccer Girls JV,26575,18-19,SocGJV.F.2018.US
33956,Cross Country Girls Varsity,Athletics,Cross Country Girls Varsity,22621,18-19,XCtryGV.F.2018.US
33958,Basketball Boys Varsity,Athletics,Basketball Boys Varsity,23356,18-19,BsktBV.W.2018.US
33959,Basketball Boys JV,Athletics,Basketball Boys JV,24234,18-19,BsktBJV.W.2018.US
33960,Basketball Boys 3rd,Athletics,Basketball Boys 3rd,26500,18-19,BsktB3.W.2018.US
33961,Basketball Girls Varsity,Athletics,Basketball Girls Varsity,25012,18-19,BsktGV.W.2018.US
