Person ID,Gender,Current Grade,City,Roles
10001,Female,None,Raynham,"Alum '18, Vol"
10002,Female,None,Wayland,"Alum '19, Sister of Alum"
10003,Male,None,Brookline,"Alum '18, Vol, Brother of Alum"
10004,Female,None,Wellesley Hills,"Alum '18, Vol, Sibling"
10005,Female,None,Dedham,"Alum '18, Vol, Sister of Alum"
10006,Female,None,Wellesley Hills,"Alum '18, Vol, Daughter of Alum"
10007,Female,None,Wellesley,"Alum '18, Vol, Sister of Alum"
10008,Female,None,Belmont,"Alum '19, Vol, Sister of Alum"
10009,Male,None,Dover,"Alum '19, Vol, Sibling, cfsf, Son of Former Staff/Faculty, Son of Alum"
10010,Male,None,Milton,"Alum '19, Vol, cfsf, Sibling of Prospect"
10011,Female,None,Boston,"Alum '19, Sister of Alum"
10012,Female,None,Weston,"Alum '19, Vol, Sibling, Sister of Alum"
10013,Female,None,Needham,"Alum '19, Vol, Sister of Alum"
10014,Female,None,Milton,Alum '19
10015,Male,None,Needham,"Alum '20, Vol, Brother of Alum"
10016,Male,None,Foxboro,"Alum '18, Vol"
10017,Male,None,Boston,"Alum '18, Vol, Brother of Alum"
10018,Male,None,Needham Heights,Alum '20
10019,Female,None,Attleboro,"Alum '18, Vol, Sister of Alum"
10020,Female,None,Weston,"Alum '18, Vol, Sister of Alum"
10021,Female,None,Dover,"Alum '18, Vol, Sibling, Sister of Alum"
10022,Female,None,Boston,"Alum '20, Vol"
10023,Female,None,Wellesley,"Alum '20, Vol, Sister of Alum"
10024,Female,None,Newton Center,Alum '18
10025,Female,None,Dover,Alum '18
10026,Female,None,Boston,"Alum '18, Vol, Sister of Alum"
10027,Male,None,Wellesley,"Alum '20, Brother of Alum"
10028,Male,None,Needham,"Alum '19, Vol"
10029,Female,None,Weston,"Alum '21, Sister of Alum"
10030,Female,None,Chestnut Hill,"Alum '21, Vol, Sister of Alum"
10031,Male,None,Wellesley,"Alum '19, Vol, csf, Son of Faculty"
10032,Female,None,Chestnut Hill,Alum '19
10033,Male,None,Milton,"Alum '19, Vol, Son of Alum"
10034,Female,None,Chestnut Hill,Alum '21
10035,Male,None,Wellesley,"Alum '19, Vol, Cousin of Alum"
10036,Female,None,Wellesley,"Alum '21, Sister of Alum"
10037,Female,None,Cambridge,"Alum '19, Vol, Sister of Alum"
10038,Male,None,Wellesley,"Alum '21, Vol, Son of Alum"
10039,Male,None,Lincoln,Alum '21
10040,Male,None,Boston,"Alum '19, Brother of Alum"
10041,Male,None,Wayland,"Alum '19, Vol, Brother of Alum"
10042,Male,None,Norwell,"Frmr Student 20-21 ('21), Brother of Alum"
10043,Female,None,Boston,"Alum '20, Sister of Alum"
