Enrollment ID,Internal Class ID,STUDENT: Person ID
40330,34775,10011
45862,34775,10014
56419,38561,10022
45616,34775,10045
56531,38561,10045
42967,34775,10055
39504,34775,10075
56639,38561,10076
93967,41721,10076
43417,34775,10100
39381,34775,10118
56809,38561,10118
44535,34775,10136
56859,38561,10136
43792,34775,10145
39757,34775,10201
57097,38561,10201
41218,34775,10212
93968,41721,10214
42825,34775,10238
40905,34775,10239
45670,34775,10254
57270,38561,10254
57308,38561,10260
93969,41721,10260
43750,34775,10285
44709,34775,10292
57386,38561,10292
42740,34775,10293
57396,38561,10293
43788,34775,10302
49407,34775,10314
57583,38561,10350
93971,41721,10350
57639,38561,10362
93972,41721,10367
162578,42856,10367
162641,42856,10380
57837,38561,10384
57882,38561,10387
93973,41721,10387
41676,34775,10426
58194,38561,10441
93974,41721,10441
93975,41721,10444
162763,42856,10446
58276,38561,10449
93976,41721,10449
45448,34775,10482
58422,38561,10482
44116,34775,10485
93977,41721,10526
93978,41721,10528
162890,42856,10528
162918,42856,10537
93979,41721,10544
93980,41721,10545
58924,38561,10553
162961,42856,10555
162985,42856,10617
93981,41721,10661
163070,42856,10661
163093,42856,10664
219813,44511,10664
163101,42856,10668
219824,44511,10668
59561,38561,10710
93982,41721,10710
59602,38561,10716
93983,41721,10716
43337,34775,10748
41415,34775,10749
59816,38561,10764
93984,41721,10764
41573,34775,10768
59860,38561,10768
59914,38561,10774
93985,41721,10774
60169,38561,10820
220011,44511,12784
318783,47557,12784
318784,47557,13421
93986,41721,13432
220095,44511,13433
93987,41721,15850
93988,41721,15852
163767,42856,15852
220207,44511,15916
318785,47557,15916
220238,44511,16594
93989,41721,16596
163889,42856,16596
163904,42856,16598
163929,42856,16652
93990,41721,16653
163938,42856,16653
164067,42856,17415
220355,44511,17505
220455,44511,88408
220516,44511,89606
318786,47557,89606
220677,44511,91243
318787,47557,91243
164581,42856,92207
164623,42856,225001
220851,44511,225001
318788,47557,230361
318789,47557,231219
164840,42856,231307
318790,47557,231315
318791,47557,231401
165005,42856,234695
221277,44511,234695
165014,42856,234697
221287,44511,234697
165083,42856,234780
221374,44511,234780
165149,42856,235227
165175,42856,235235
221510,44511,235235
318792,47557,235254
318793,47557,235519
318794,47557,236648
318795,47557,236704
318796,47557,236753
318797,47557,237312
222066,44511,238536
222224,44511,240725
222281,44511,240986
222629,44511,242434
222895,44511,243432
318798,47557,243432
223112,44511,245351
318799,47557,245351
223141,44511,245719
318800,47557,245719
318801,47557,250950
318802,47557,251600
318803,47557,251689
318804,47557,252023
318805,47557,253267
318806,47557,254222
318807,47557,255879
318808,47557,256389
410016,49404,255098
409628,49404,252117
409477,49404,251232
409392,49404,250204
409297,49404,245415
408670,49404,237312
408610,49404,236680
408389,49404,231431
408374,49404,231409
408157,49404,230300
408206,49404,230846
220887,44512,230323
220922,44512,230394
220831,44512,92585
220646,44512,91161
164301,42857,20362
171222,42857,17415
